2.29036, latitude, 0.699897, longitude, -2.33803e-05
2.16016, latitude, 1.14617, longitude, -6.86902e-05
1.17188, latitude, 2.21036, longitude, -1.86319e-05
0.80599, latitude, 3.06923, longitude, 0.000144507
0.731771, latitude, 3.79757, longitude, 5.2953e-05
0.692708, latitude, 4.63905, longitude, 9.60792e-05
0.855469, latitude, 5.6904, longitude, 8.02956e-05
1.08333, latitude, 6.58494, longitude, -0.000172476
1.06641, latitude, 7.29677, longitude, 0.000109355
1.0599, latitude, 8.18611, longitude, -0.000162347
0.911458, latitude, 9.07877, longitude, -0.000118735
0.496094, latitude, 9.97396, longitude, -0.000298924
0.455729, latitude, 10.9494, longitude, -1.39089e-05
0.459635, latitude, 11.7916, longitude, -0.000162707
0.433594, latitude, 12.6463, longitude, -0.000123622
0.74349, latitude, 13.4394, longitude, -0.000471667
1.57031, latitude, 14.3728, longitude, 8.1685e-05
2.44401, latitude, 15.1533, longitude, 9.7139e-05
3.57812, latitude, 16.084, longitude, 4.7308e-05
3.43229, latitude, 17.0207, longitude, 0.000180591
3.70052, latitude, 17.9536, longitude, -3.48551e-05
4.5, latitude, 18.8475, longitude, -3.43235e-05
5.23307, latitude, 19.7472, longitude, 3.34624e-05
5.47135, latitude, 20.5833, longitude, 0.000255334
5.32422, latitude, 21.4148, longitude, -0.000152486
4.50781, latitude, 22.2403, longitude, 0.000160715
4.84115, latitude, 23.2637, longitude, -0.000160208
5.38542, latitude, 24.1263, longitude, -5.76104e-05
5.27214, latitude, 24.9939, longitude, 7.27093e-05
5.24349, latitude, 25.8476, longitude, -7.09762e-07
5.56641, latitude, 26.6943, longitude, -0.000146206
5.8776, latitude, 27.5379, longitude, -0.000115772
6.4401, latitude, 28.3949, longitude, -6.99499e-05
6.13932, latitude, 29.2405, longitude, -0.000105386
6.35286, latitude, 30.2531, longitude, -0.000266773
7.39453, latitude, 31.0984, longitude, 6.87881e-05
7.80339, latitude, 31.9406, longitude, -0.000153119
7.3151, latitude, 32.7873, longitude, -0.000203885
6.03776, latitude, 33.6514, longitude, -1.19435e-05
5.52865, latitude, 34.5213, longitude, -0.00014244
5.73307, latitude, 35.5156, longitude, -5.52296e-06
5.15495, latitude, 36.3539, longitude, 0.000107382
4.25391, latitude, 37.197, longitude, -5.87706e-05
2.20312, latitude, 38.0286, longitude, 0.000404641
1.65365, latitude, 38.9934, longitude, 0.00025033
1.28776, latitude, 39.7719, longitude, 0.000310576
0.790365, latitude, 40.7112, longitude, 0.000190699
0.425781, latitude, 41.4927, longitude, -9.05632e-05
0.15625, latitude, 42.2772, longitude, -0.000148296
0, latitude, 43.3749, longitude, -5.16574e-05
0, latitude, 44.1364, longitude, 4.32466e-05
0, latitude, 45.0359, longitude, -0.000242738
0, latitude, 45.787, longitude, 0.000140338
0, latitude, 46.8173, longitude, 0.000241234
0, latitude, 47.6905, longitude, 2.42586e-05
0, latitude, 48.5638, longitude, 2.10509e-05
0, latitude, 49.4413, longitude, 0.000131543
0, latitude, 50.3187, longitude, 8.35336e-05
0, latitude, 51.1973, longitude, -0.00011606
0, latitude, 52.0658, longitude, 3.2219e-05
0, latitude, 53.0731, longitude, -0.000358752
0, latitude, 53.9165, longitude, -0.000157209
0, latitude, 54.777, longitude, -0.000104074
0, latitude, 55.6291, longitude, -2.3504e-05
0, latitude, 56.4757, longitude, -0.000309342
0, latitude, 57.3279, longitude, 0.000103441
0, latitude, 58.3125, longitude, -0.000189871
0, latitude, 59.1679, longitude, -9.90846e-05
0, latitude, 60.0233, longitude, 0.000148146
0, latitude, 60.8824, longitude, 3.4889e-05
0, latitude, 61.7332, longitude, -8.32745e-05
0, latitude, 62.5856, longitude, -0.000190008
0, latitude, 63.5741, longitude, 4.46867e-05
0, latitude, 64.4228, longitude, 6.70513e-05
0, latitude, 65.2704, longitude, 3.56453e-06
0, latitude, 66.1157, longitude, -6.86037e-05
0, latitude, 66.9684, longitude, 8.36186e-05
0, latitude, 67.8176, longitude, -0.00011778
0, latitude, 68.8115, longitude, 4.14136e-05
0, latitude, 69.6628, longitude, -2.99664e-06
0, latitude, 70.506, longitude, 4.2973e-05
0, latitude, 71.3517, longitude, -0.000119895
0, latitude, 72.2034, longitude, -5.1849e-06
0, latitude, 73.0632, longitude, -0.00018237
0, latitude, 74.0576, longitude, 0.000201434
0, latitude, 74.9138, longitude, 9.72553e-05
0, latitude, 75.7679, longitude, 7.50806e-05
