2.375, latitude, 0.699901, longitude, 8.52319e-05
2.24349, latitude, 1.23629, longitude, 0.000293064
1.55208, latitude, 2.2443, longitude, -0.000282002
1.49609, latitude, 3.12362, longitude, 2.71943e-05
1.82552, latitude, 3.88631, longitude, 0.000152729
2.06641, latitude, 4.77792, longitude, 5.04878e-05
2.76432, latitude, 5.65198, longitude, 9.4995e-05
3.26302, latitude, 6.54395, longitude, -1.95225e-05
4.16016, latitude, 7.39224, longitude, 0.000133165
6.09505, latitude, 8.26803, longitude, -0.000143563
6.4401, latitude, 9.12811, longitude, -0.00033389
5.31901, latitude, 10.0276, longitude, -0.000201615
4.28646, latitude, 10.8798, longitude, -1.14804e-05
3.71224, latitude, 11.8357, longitude, 3.23637e-05
4.5, latitude, 12.6592, longitude, 0.000103932
7.36849, latitude, 13.5878, longitude, 0.000154294
9.8099, latitude, 14.4355, longitude, 0.000245029
13.0482, latitude, 15.156, longitude, 5.1633e-05
18.5951, latitude, 16.2413, longitude, 5.8079e-05
17.0951, latitude, 16.9568, longitude, -4.60834e-05
16.3268, latitude, 17.9888, longitude, -0.000202219
20.9323, latitude, 18.6799, longitude, -0.00026491
22.056, latitude, 19.7071, longitude, 0.00016079
21.6159, latitude, 20.392, longitude, -0.000339467
22.7904, latitude, 21.4028, longitude, -0.000182205
21.8867, latitude, 22.0785, longitude, -0.00013672
20.2865, latitude, 23.1205, longitude, -0.000277576
19.8802, latitude, 24.1732, longitude, -3.99723e-05
21.8372, latitude, 24.8724, longitude, -1.15306e-05
23.4948, latitude, 25.9254, longitude, -1.22112e-05
24.8138, latitude, 26.6277, longitude, -0.000141591
28.3333, latitude, 27.6822, longitude, 3.77447e-05
28.3359, latitude, 28.3829, longitude, 0.000366869
24.3581, latitude, 29.093, longitude, 1.43201e-05
22.1367, latitude, 30.1606, longitude, 1.86787e-06
28.1536, latitude, 30.9219, longitude, 0.000316408
34.7773, latitude, 31.7088, longitude, 0.000115165
38.901, latitude, 32.8967, longitude, -0.000164511
40.7839, latitude, 33.6131, longitude, -0.000180698
38.4661, latitude, 34.3412, longitude, 3.6492e-05
35.5208, latitude, 35.4106, longitude, -0.000108678
29.3242, latitude, 36.1182, longitude, 0.00021398
27.0039, latitude, 37.1729, longitude, -5.96341e-05
20.099, latitude, 37.8839, longitude, -0.000117934
15.6419, latitude, 38.9493, longitude, -4.00946e-05
10.8346, latitude, 39.6497, longitude, -0.000187886
