2.29036, latitude, 0.699729, longitude, 0.000151696
2.14714, latitude, 1.22898, longitude, 0.000322791
1.15234, latitude, 2.12121, longitude, -1.72647e-08
0.799479, latitude, 3.16286, longitude, 0.000108638
0.707031, latitude, 3.93983, longitude, 0.000110717
0.683594, latitude, 4.81224, longitude, -4.38318e-05
0.914062, latitude, 5.64826, longitude, 0.000200742
1.0625, latitude, 6.49861, longitude, 5.0203e-05
1.05859, latitude, 7.46547, longitude, 0.000215986
1.05729, latitude, 8.36655, longitude, -1.12645e-05
0.845052, latitude, 9.24776, longitude, 1.84914e-05
0.492188, latitude, 10.028, longitude, -5.86523e-05
0.454427, latitude, 10.9327, longitude, -0.000328172
0.466146, latitude, 11.8459, longitude, -0.000102545
0.908854, latitude, 12.6231, longitude, -0.000350587
2.49479, latitude, 13.6724, longitude, 5.74547e-05
4.70443, latitude, 14.4458, longitude, 3.13283e-06
7.77474, latitude, 15.3454, longitude, -2.04995e-05
11.7943, latitude, 16.2297, longitude, 3.50403e-05
15.6615, latitude, 17.0797, longitude, 0.000100199
17.0885, latitude, 17.9253, longitude, -2.17165e-05
17.7227, latitude, 18.7847, longitude, 0.000253192
18.8737, latitude, 19.8569, longitude, -0.000365067
18.9987, latitude, 20.7155, longitude, 0.000128063
16, latitude, 21.5788, longitude, -3.71798e-05
14.5365, latitude, 22.4397, longitude, 8.39508e-05
14.5755, latitude, 23.322, longitude, 2.66005e-05
15.4375, latitude, 24.2099, longitude, -6.32744e-05
15.3607, latitude, 24.8808, longitude, 0.000286015
14.0273, latitude, 25.7953, longitude, 0.000287173
15.6107, latitude, 26.7098, longitude, 0.000153288
15.4961, latitude, 27.6261, longitude, -0.000106938
16.1862, latitude, 28.5497, longitude, 0.000107342
18.2201, latitude, 29.4734, longitude, 0.00014748
20.6771, latitude, 30.1608, longitude, -0.000132467
21.3138, latitude, 31.0863, longitude, -0.000140061
22.1615, latitude, 32.0138, longitude, 9.22356e-05
24.7695, latitude, 32.9464, longitude, -0.000145471
25.4635, latitude, 33.6389, longitude, -0.000242458
24.2227, latitude, 34.5725, longitude, 0.000310422
22.3203, latitude, 35.5037, longitude, 1.7033e-05
18.418, latitude, 36.4317, longitude, 0.000311059
14.5182, latitude, 37.353, longitude, -0.000166073
9.39583, latitude, 38.0505, longitude, 3.79941e-05
6.22266, latitude, 38.9563, longitude, 0.000115222
3.65365, latitude, 39.858, longitude, -9.49283e-05
1.66146, latitude, 40.7541, longitude, 0.000165054
1.28906, latitude, 41.6594, longitude, -8.06404e-05
0.845052, latitude, 42.5662, longitude, 0.000213818
0.03125, latitude, 43.47, longitude, 0.000146763
0, latitude, 44.1452, longitude, -0.000139733
0, latitude, 45.044, longitude, 7.9131e-06
0, latitude, 45.9257, longitude, -5.62263e-05
0, latitude, 46.8009, longitude, 0.000210581
0, latitude, 47.6627, longitude, -0.000157546
0, latitude, 48.5267, longitude, 0.00011674
0, latitude, 49.6006, longitude, -0.000125654
0, latitude, 50.4757, longitude, 0.000306738
0, latitude, 51.3417, longitude, 2.17323e-05
0, latitude, 52.1865, longitude, 6.38781e-05
0, latitude, 53.0295, longitude, 2.10575e-05
0, latitude, 53.8677, longitude, -0.000126464
0, latitude, 54.7292, longitude, -4.16872e-05
0, latitude, 55.5742, longitude, 0.000355943
0, latitude, 56.6062, longitude, -2.99229e-05
0, latitude, 57.4395, longitude, 0.00010419
0, latitude, 58.2666, longitude, 5.46037e-05
0, latitude, 59.105, longitude, -2.11048e-05
0, latitude, 60.1487, longitude, -9.52123e-05
0, latitude, 60.9905, longitude, 0.000182331
0, latitude, 61.8359, longitude, -0.000249613
0, latitude, 62.6646, longitude, -0.000129528
0, latitude, 63.4974, longitude, 7.22833e-05
0, latitude, 64.5397, longitude, -4.09117e-05
0, latitude, 65.3842, longitude, -0.000197992
0, latitude, 66.2189, longitude, -5.43162e-06
0, latitude, 67.054, longitude, -1.63969e-05
0, latitude, 67.8966, longitude, 0.000130543
0, latitude, 68.7537, longitude, 1.48581e-05
0, latitude, 69.599, longitude, -0.000118225
0, latitude, 70.6337, longitude, 0.000235282
0, latitude, 71.4599, longitude, -8.57295e-05
0, latitude, 72.2868, longitude, 0.000167128
0, latitude, 73.1179, longitude, -2.42028e-05
0, latitude, 74.1485, longitude, -3.63486e-05
0, latitude, 74.9931, longitude, -0.000193841
0, latitude, 75.8232, longitude, -0.000166079
0, latitude, 76.6728, longitude, -2.40885e-05
0, latitude, 77.5026, longitude, -0.000141286
0, latitude, 78.3415, longitude, 0.000360181
0, latitude, 79.3956, longitude, 0.000165663
0, latitude, 80.2334, longitude, -0.00013152
0, latitude, 81.0654, longitude, 1.53923e-05
0, latitude, 81.9044, longitude, -7.04777e-05
0, latitude, 82.7329, longitude, 0.000226845
0, latitude, 83.7711, longitude, 4.3236e-05
0, latitude, 84.6185, longitude, -0.000154834
