2.72266, latitude, 0.699718, longitude, 8.5534e-05
2.47005, latitude, 1.36794, longitude, 0.000158697
1.83984, latitude, 2.14115, longitude, 0.000139539
1.80078, latitude, 3.11877, longitude, 8.52319e-05
2.02734, latitude, 3.84776, longitude, 0.000293064
1.89323, latitude, 4.87769, longitude, -0.000282002
1.84635, latitude, 5.59715, longitude, 2.71943e-05
1.93229, latitude, 6.50334, longitude, 0.000152729
1.80599, latitude, 7.30656, longitude, 5.04878e-05
1.79167, latitude, 8.34825, longitude, 9.4995e-05
0.994792, latitude, 9.21649, longitude, -1.95225e-05
0.527344, latitude, 9.91215, longitude, 0.000133165
0.60026, latitude, 10.8306, longitude, -0.000143563
0.898438, latitude, 11.7313, longitude, -0.00033389
1.83984, latitude, 12.6531, longitude, -0.000201615
4.22656, latitude, 13.5654, longitude, -1.14804e-05
6.30469, latitude, 14.4696, longitude, 3.23637e-05
10.2227, latitude, 15.3838, longitude, 0.000103932
13.9635, latitude, 16.3079, longitude, 0.000272979
17.4076, latitude, 16.9964, longitude, 0.000341714
20.2331, latitude, 17.8981, longitude, 0.000158753
20.0573, latitude, 18.8154, longitude, -0.00030333
19.7565, latitude, 19.7331, longitude, 0.000104284
18.4479, latitude, 20.6606, longitude, 7.23036e-05
17.7812, latitude, 21.3467, longitude, 6.08336e-05
16.3698, latitude, 22.2749, longitude, -0.000145257
15.556, latitude, 23.1936, longitude, 0.000135229
16.8372, latitude, 24.1184, longitude, 0.000135326
17.862, latitude, 25.04, longitude, -5.34312e-05
19.8164, latitude, 25.7217, longitude, -0.000277576
20.6758, latitude, 26.6391, longitude, -3.99723e-05
20.9141, latitude, 27.5537, longitude, -1.15306e-05
21.3164, latitude, 28.4682, longitude, -1.22112e-05
22.5807, latitude, 29.3795, longitude, -0.000141591
24.7708, latitude, 30.2976, longitude, 3.77447e-05
25.8984, latitude, 30.9818, longitude, 0.000366869
26.9232, latitude, 31.9045, longitude, 1.43201e-05
26.1797, latitude, 32.8505, longitude, 1.86787e-06
27.8372, latitude, 33.7779, longitude, 0.000316408
26.6094, latitude, 34.6927, longitude, 0.000115165
22.5508, latitude, 35.3835, longitude, -0.000164511
16.6471, latitude, 36.3021, longitude, -0.000180698
12.3346, latitude, 37.2215, longitude, 3.6492e-05
9.11458, latitude, 38.1327, longitude, -0.000108678
5.93359, latitude, 39.0289, longitude, 0.00021398
3.75911, latitude, 39.9159, longitude, -5.96341e-05
1.54427, latitude, 40.8021, longitude, -0.000117934
0.782552, latitude, 41.686, longitude, -4.00946e-05
0.740885, latitude, 42.3542, longitude, -0.000187886
0.0755208, latitude, 43.2399, longitude, 0.000143685
0, latitude, 44.1231, longitude, 0.000199361
0, latitude, 44.9897, longitude, -0.000294886
0, latitude, 46.0608, longitude, -8.64004e-05
0, latitude, 46.9149, longitude, 9.47274e-05
0, latitude, 47.7709, longitude, 8.02262e-05
0, latitude, 48.6349, longitude, -0.000142026
0, latitude, 49.4937, longitude, 0.000216043
0, latitude, 50.3467, longitude, -0.00015456
0, latitude, 51.1962, longitude, -0.000252212
0, latitude, 52.0421, longitude, 3.56811e-06
0, latitude, 52.8879, longitude, -0.000207582
0, latitude, 53.7326, longitude, -0.000169967
0, latitude, 54.7897, longitude, 4.99984e-05
0, latitude, 55.6312, longitude, -0.00012523
0, latitude, 56.4677, longitude, -3.6906e-05
0, latitude, 57.3106, longitude, 8.47772e-05
0, latitude, 58.352, longitude, -2.49833e-05
0, latitude, 59.1873, longitude, 6.80912e-05
0, latitude, 60.0185, longitude, -0.000194654
0, latitude, 60.8584, longitude, -7.52944e-05
0, latitude, 61.6958, longitude, 2.72165e-05
0, latitude, 62.7388, longitude, 0.00015416
0, latitude, 63.576, longitude, -0.000128759
0, latitude, 64.4099, longitude, -1.62425e-05
0, latitude, 65.242, longitude, 6.45488e-05
0, latitude, 66.0752, longitude, 0.000250987
0, latitude, 66.9223, longitude, -7.50179e-06
0, latitude, 67.9942, longitude, 0.000132538
0, latitude, 68.8439, longitude, -4.57349e-06
0, latitude, 69.6998, longitude, -0.000166481
0, latitude, 70.5564, longitude, 3.26486e-05
0, latitude, 71.405, longitude, 0.000185004
0, latitude, 72.2601, longitude, 9.30181e-05
0, latitude, 73.1114, longitude, -6.39479e-05
0, latitude, 73.96, longitude, 1.74774e-05
0, latitude, 74.8121, longitude, 3.63243e-05
0, latitude, 75.8683, longitude, 9.15303e-07
0, latitude, 76.7153, longitude, -4.60585e-05
0, latitude, 77.5668, longitude, 0.000180579
0, latitude, 78.4132, longitude, 0.000119322
