12.5859, latitude, 0.699718, longitude, 8.5534e-05
13.5039, latitude, 1.34879, longitude, 1.62263
19.099, latitude, -15.9694, longitude, 1.62245
12.5495, latitude, -20.617, longitude, 3.22941
10.2539, latitude, 37.6229, longitude, 8.08765
11.5065, latitude, 30.2407, longitude, 9.61776
11.4987, latitude, 30.3602, longitude, 11.3309
11.5065, latitude, 30.3602, longitude, 11.3309
12.8594, latitude, -9.86252, longitude, 16.0661
13.0404, latitude, 0.303089, longitude, 17.7711
21.2552, latitude, -13.6074, longitude, 19.2653
29.724, latitude, -7.74326, longitude, 20.9766
33.1276, latitude, -14.7225, longitude, 22.4702
23.1654, latitude, -6.73443, longitude, 24.1196
12.5924, latitude, -12.5828, longitude, 25.6032
11.224, latitude, -6.87985, longitude, 25.6034
16.3906, latitude, -8.62516, longitude, 27.2967
